
ALFALFA SPROUTS ORGANIC-UNSPECIFIED,0.22450006/Gr
TOMATOES G.H.-GRAPE RED,32.75/lbs
TOMATOES G.H.-ORANGE,2.0113637/lbs
TOMATOES G.H.-ORANGE ON VINE,1.5227273/lbs
TOMATOES G.H.-RED,1.0550083/lbs
TOMATOES G.H.-RED ON VINE,1.0909091/lbs
TOMATOES G.H.-ROMA,0.8/lbs
TOMATOES G.H.-ROMA ON VINE,1.3950002/lbs
TOMATOES G.H.-STRAWBERRY,4.2222223/Oz
TOMATOES G.H.-YELLOW,2.0113637/lbs
TOMATOES G.H.-YELLOW ON VINE,1.0681819/lbs
TOMATOES ORGANIC-CHERRY,38.75/Pt
TOMATOES ORGANIC-FIELD RED,1.45/lbs
TOMATOES ORGANIC-G.H.-RED,3.840909/lbs
TOMATOES ORGANIC-G.H.-RED ON THE VINE,2.8522727/lbs
TOMATOES ORGANIC-GRAPE RED,41.27523/Pt
TOMATOES ORGANIC-ROMA,1.57/lbs
TURNIPS ORGANIC-UNSPECIFIED,1.2120011/lbs
TURNIPS PURPLE,1.115/lbs
TURNIPS UNSPECIFIED,5.6/lbs
TURNIPS WHITE,1.1790017/lbs
TURNIPS YELLOW,0.595/lbs
WATERCRESS UNSPECIFIED,1.25
YAMS GARNET,0.88562316/lbs
YAMS JEWEL,0.90437365/lbs
YAMS ORGANIC-UNSPECIFIED,1.6625/lbs
YAMS PURPLE,1.2011125/lbs
YAMS UNSPECIFIED,1.00625/lbs
YAMS WHITE,2.0/lbs
YAMS YELLOW,3.1666667/lbs
YUCCA CASSAVA,1.7149998/lbs
YUCCA UNSPECIFIED,0.75986844/lbs
ZUCCHINI FIELD-GRAY,0.855/lbs
ZUCCHINI FIELD-GREEN,0.905/lbs
ZUCCHINI FIELD-YELLOW,0.9460066/lbs
ZUCCHINI G.H.-YELLOW,1.36/lbs
ZUCCHINI ORGANIC-GREEN,1.2875/lbs
ZUCCHINI ORGANIC-YELLOW,1.8854166/lbs
ZUCCHINI UNSPECIFIED,1.035/lbs
